,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,The Talos Principle,Linux,Devolver Digital,Croteam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 14,N/A
1,The Talos Principle,OSX,Devolver Digital,Croteam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 14,N/A
2,The Talos Principle,And,Devolver Digital,Croteam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th May 15,N/A
3,The Tekkyu Fight! Great Battle Gaiden,GB,Banpresto,Banpresto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Jul 93,N/A
4,The TEMPURA of the DEAD,XBL,Microsoft,JPN 8bits fanatics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 10,N/A
5,The Tenpura of the Dead,XBL,Unknown,8bits fanatics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,The Terminator,NES,Mindscape,Radical Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 92,N/A
7,The Terminator,GG,Virgin Interactive,Probe Entertainment Limited,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92,N/A
8,The Terminator,SCD,Virgin Interactive,Virgin Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Mar 93,N/A
9,The Terminator,MS,Virgin Interactive,Probe Entertainment Limited,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90,N/A
10,The Terminator,GEN,Virgin Interactive,Probe Entertainment Limited,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91,N/A
11,The Terminator,SNES,Mindscape,Mindscape Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 93,N/A
