Title,Publisher,Developer,Release,Sales
Tetris,Unknown,Alexey Pajitnov,06-06-1984,496.0
Super Mario,Nintendo,Nintendo,20-07-1983,372.86
Pokemon,Nintendo,Game Freak,28-09-1998,369.88
Grand Theft Auto,Rockstar Games,Rockstar North,27-03-1998,335.0
FIFA,EA Sports,Extended Play Productions (1991-1997),15-12-1993,325.0
Call of Duty,Activision,Infinity Ward,29-10-2003,300.0
Lego,Mindscape,TT Fusion,26-09-1997,200.0
Minecraft,Mojang,Mojang,18-11-2011,200.0
The Sims,Electronic Arts,Maxis,04-02-2000,200.0
Final Fantasy,Square,Square,18-12-1987,159.0
Assassin's Creed,Ubisoft,Ubisoft,13-11-2007,155.0
Mario Kart,Nintendo,Nintendo,01-09-1992,154.26
Need for Speed,Electronic Arts,EA Black Box,31-08-1994,150.0
Madden NFL,Electronic Arts,Park Place Productions,01-06-1988,130.0
Wii Sports,Nintendo,Nintendo,19-11-2006,116.04
NBA 2K,Sega,Visual Concepts,10-11-1999,112.0
The Legend of Zelda,Nintendo,Nintendo,14-07-1987,111.65
Pro Evolution Soccer,Konami,Konami,22-12-1995,111.0
Resident Evil,Capcom,Capcom,30-03-1996,107.0
Dragon Quest,Square,ArtePiazza,27-05-1986,82.0
Halo,Microsoft Game Studios,Bungie,15-11-2001,81.0
Tomb Raider,Eidos Interactive,Core Design,14-11-1996,81.0
Gran Turismo,Sony Computer Entertainment,Polyphony Digital,12-05-1998,80.4
Battlefield,Electronic Arts,EA DICE,10-09-2002,78.9
Sonic the Hedgehog,Sega,Sonic Team,23-06-1991,76.64
Worms,Unknown,Team17,,75.0
Just Dance,Ubisoft,Ubisoft,17-11-2009,70.0
PUBG,PUBG Corporation,PUBG Corporation,20-12-2017,70.0
WWE 2K,THQ,Visual Concepts,02-03-2000,70.0
Monster Hunter,Capcom,Capcom,21-09-2004,66.0
Animal Crossing,Nintendo,Nintendo,16-09-2002,65.81
Counter-Strike,Valve,Valve,09-11-2000,65.0
The Oregon Trail,MECC,MECC,03-12-1971,65.0
Super Smash Bros.,Nintendo,Nintendo,26-04-1999,64.11
Donkey Kong,Nintendo,Nintendo,31-07-1981,63.06
Borderlands,2K Games,Gearbox Software,20-10-2009,60.0
Dragon Ball,Bandai,Tose,27-09-1986,59.04
The Elder Scrolls,Bethesda Softworks,Bethesda Softworks,25-03-1994,58.62
Metal Gear,Konami,Konami,13-07-1987,56.9
Mario Party,Nintendo,Hudson Soft,01-02-1999,55.67
Mortal Kombat,Midway,Avalanche Software,08-10-1992,54.0
Red Dead,Rockstar Games,Rockstar San Diego,04-05-2004,53.0
Far Cry,Ubisoft,Ubisoft,23-03-2004,52.5
God of War,Sony Computer Entertainment,SIE Santa Monica Studio,22-03-2005,51.0
Tekken,Namco,Bandai Namco Studios,11-12-1994,50.52
The Walking Dead: Telltale Games Series,Unknown,Telltale Games,,50.0
Bejeweled,PopCap Games,PopCap Games,30-05-2001,50.0
Crash Bandicoot,Sony Computer Entertainment,Naughty Dog,09-09-1996,50.0
Diablo,Blizzard Entertainment,Blizzard North,03-01-1997,50.0
Lego Star Wars,Eidos Interactive,TT Fusion,29-03-2005,50.0
The Witcher,Atari,CD Projekt Red Studio,30-10-2007,50.0
Fallout,Interplay Productions,Interplay Entertainment,10-10-1997,46.43
Street Fighter,Capcom,Capcom,30-08-1987,46.0
Warriors,KOEI,Omega Force,30-06-1997,45.26
Uncharted,Sony Computer Entertainment,Naughty Dog,20-11-2007,44.25
Civilization,Microprose,Firaxis Games,01-09-1991,44.0
Wii Fit,Nintendo,Nintendo,21-05-2008,43.8
Star Wars: Battlefront,LucasArts,Pandemic Studios,21-09-2004,43.0
Harry Potter,Electronic Arts,Griptonite Games,15-11-2001,42.7
World of WarCraft,Blizzard Entertainment,Blizzard Entertainment,23-11-2004,40.6
Kirby,Nintendo,HAL Laboratory,01-08-1992,40.13
Guitar Hero,Activision,Harmonix,08-11-2005,40.0
Medal of Honor,Electronic Arts,"2015, Inc.",31-10-1999,39.0
Mega Man,Capcom,Capcom,17-12-1987,36.0
Tom Clancy's Rainbow Six,Red Storm Entertainment,Ubisoft,21-08-1998,36.0
NBA Live,EA Sports,EA Canada,01-10-1994,35.0
Tom Clancy's Ghost Recon,Ubisoft,Red Storm Entertainment,13-11-2001,35.0
Total War,Electronic Arts,Creative Assembly,13-06-2000,34.3
BioShock,2K Games,Irrational Games,21-08-2007,34.0
Brain Age,Nintendo,Nintendo,16-04-2006,33.89
Half-life,Sierra Studios,Valve,19-11-1998,33.1
Spider-Man,Unknown,Parker Brothers,,32.1
Kingdom Hearts,Square,Square,17-09-2002,32.0
Saints Row,THQ,Volition,29-08-2006,32.0
Tony Hawk's,Activision,Neversoft,29-09-1999,31.12
Tom Clancy's Splinter Cell,Ubisoft,Ubisoft,17-11-2002,31.0
Age of Empires,Microsoft,Ensemble Studios,15-10-1997,30.82
Terraria,505 Games,Re-Logic,16-05-2011,30.3
Command & Conquer,Electronic Arts,Westwood Studios,26-09-1995,30.0
James Bond,Parker Bros.,Richard Shepherd Software,01-01-1983,30.0
Wii Play,Nintendo,Nintendo,12-02-2007,29.66
Nintendogs,Nintendo,Nintendo,22-08-2005,28.6
Souls,Atlus,From Software,06-10-2009,28.0
Portal,Valve,Valve,10-10-2007,27.03
Yoshi,Nintendo,Nintendo,01-06-1992,26.11
